#      index      mass[g]      radius[cm]      temperature[K]      density[g/cm^3]      velocity[cm/s]      ye(initial)      entropy[kb/baryon]      expansion_timescale[s]
3000
   133     1.481022892e+30     3.854380031e+08     1.000000000e+09     2.699478105e+04     1.618839613e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
   134     1.491822699e+30     3.856523603e+08     1.000000000e+09     2.694979254e+04     1.619739913e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
   135     1.502616505e+30     3.858667175e+08     1.000000000e+09     2.690490394e+04     1.620640213e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
   136     1.513404317e+30     3.860810746e+08     1.000000000e+09     2.686011497e+04     1.621540514e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
   137     1.524186141e+30     3.862954318e+08     1.000000000e+09     2.681542536e+04     1.622440814e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
   138     1.534961984e+30     3.865097890e+08     1.000000000e+09     2.677083484e+04     1.623341114e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
   139     1.545731852e+30     3.867241461e+08     1.000000000e+09     2.672634312e+04     1.624241414e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
   140     1.556495752e+30     3.869385033e+08     1.000000000e+09     2.668194994e+04     1.625141714e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
   141     1.567253690e+30     3.871528605e+08     1.000000000e+09     2.663765503e+04     1.626042014e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
   142     1.578005674e+30     3.873672176e+08     1.000000000e+09     2.659345811e+04     1.626942314e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
   143     1.588751710e+30     3.875815748e+08     1.000000000e+09     2.654935890e+04     1.627842614e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
   144     1.599491804e+30     3.877959320e+08     1.000000000e+09     2.650535715e+04     1.628742914e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
   145     1.610225963e+30     3.880102891e+08     1.000000000e+09     2.646145258e+04     1.629643214e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
   146     1.620954194e+30     3.882246463e+08     1.000000000e+09     2.641764492e+04     1.630543515e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
   147     1.631676502e+30     3.884390035e+08     1.000000000e+09     2.637393391e+04     1.631443815e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
   148     1.642392896e+30     3.886533606e+08     1.000000000e+09     2.633031928e+04     1.632344115e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
   149     1.653103380e+30     3.888677178e+08     1.000000000e+09     2.628680077e+04     1.633244415e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
   150     1.663807962e+30     3.890820750e+08     1.000000000e+09     2.624337810e+04     1.634144715e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
   151     1.674506649e+30     3.892964321e+08     1.000000000e+09     2.620005102e+04     1.635045015e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
   152     1.685199445e+30     3.895107893e+08     1.000000000e+09     2.615681926e+04     1.635945315e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
   153     1.695886359e+30     3.897251465e+08     1.000000000e+09     2.611368257e+04     1.636845615e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
   154     1.706567397e+30     3.899395036e+08     1.000000000e+09     2.607064067e+04     1.637745915e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
   155     1.717242565e+30     3.901538608e+08     1.000000000e+09     2.602769332e+04     1.638646215e+09     5.000000000e-02     1.000000000e+01     1.000000000e-02
