#      index      mass[g]      radius[cm]      temperature[K]      density[g/cm^3]      velocity[cm/s]      ye(initial)      entropy[kb/baryon]      expansion_timescale[s]
3000
   154     8.313043652e+30     3.673446704e+08     1.000000000e+09     1.373574776e+05     1.653051017e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   155     8.364805594e+30     3.675669668e+08     1.000000000e+09     1.371084161e+05     1.654051350e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   156     8.416536241e+30     3.677892631e+08     1.000000000e+09     1.368599563e+05     1.655051684e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   157     8.468235631e+30     3.680115594e+08     1.000000000e+09     1.366120965e+05     1.656052017e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   158     8.519903801e+30     3.682338557e+08     1.000000000e+09     1.363648348e+05     1.657052351e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   159     8.571540789e+30     3.684561521e+08     1.000000000e+09     1.361181695e+05     1.658052684e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   160     8.623146634e+30     3.686784484e+08     1.000000000e+09     1.358720988e+05     1.659053018e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   161     8.674721371e+30     3.689007447e+08     1.000000000e+09     1.356266208e+05     1.660053351e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   162     8.726265040e+30     3.691230410e+08     1.000000000e+09     1.353817338e+05     1.661053685e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   163     8.777777677e+30     3.693453373e+08     1.000000000e+09     1.351374360e+05     1.662054018e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   164     8.829259319e+30     3.695676337e+08     1.000000000e+09     1.348937256e+05     1.663054351e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   165     8.880710005e+30     3.697899300e+08     1.000000000e+09     1.346506009e+05     1.664054685e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   166     8.932129770e+30     3.700122263e+08     1.000000000e+09     1.344080601e+05     1.665055018e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   167     8.983518653e+30     3.702345226e+08     1.000000000e+09     1.341661014e+05     1.666055352e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   168     9.034876690e+30     3.704568189e+08     1.000000000e+09     1.339247232e+05     1.667055685e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
   169     9.086203919e+30     3.706791153e+08     1.000000000e+09     1.336839236e+05     1.668056019e+09     2.775000000e-01     1.000000000e+01     1.000000000e-02
