#      index      mass[g]      radius[cm]      temperature[K]      density[g/cm^3]      velocity[cm/s]      ye(initial)      entropy[kb/baryon]      expansion_timescale[s]
3000
    88     1.203904422e+30     2.717572524e+08     1.000000000e+09     5.720332140e+04     1.630543515e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    89     1.217174652e+30     2.720073358e+08     1.000000000e+09     5.704568833e+04     1.632044015e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    90     1.230432687e+30     2.722574191e+08     1.000000000e+09     5.688863391e+04     1.633544515e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    91     1.243678549e+30     2.725075025e+08     1.000000000e+09     5.673215548e+04     1.635045015e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    92     1.256912261e+30     2.727575859e+08     1.000000000e+09     5.657625041e+04     1.636545515e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    93     1.270133844e+30     2.730076692e+08     1.000000000e+09     5.642091607e+04     1.638046015e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    94     1.283343322e+30     2.732577526e+08     1.000000000e+09     5.626614985e+04     1.639546516e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    95     1.296540716e+30     2.735078359e+08     1.000000000e+09     5.611194916e+04     1.641047016e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    96     1.309726049e+30     2.737579193e+08     1.000000000e+09     5.595831142e+04     1.642547516e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    97     1.322899342e+30     2.740080027e+08     1.000000000e+09     5.580523405e+04     1.644048016e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    98     1.336060618e+30     2.742580860e+08     1.000000000e+09     5.565271452e+04     1.645548516e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
    99     1.349209897e+30     2.745081694e+08     1.000000000e+09     5.550075027e+04     1.647049016e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   100     1.362347203e+30     2.747582528e+08     1.000000000e+09     5.534933879e+04     1.648549517e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   101     1.375472557e+30     2.750083361e+08     1.000000000e+09     5.519847756e+04     1.650050017e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   102     1.388585980e+30     2.752584195e+08     1.000000000e+09     5.504816409e+04     1.651550517e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   103     1.401687495e+30     2.755085028e+08     1.000000000e+09     5.489839589e+04     1.653051017e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   104     1.414777123e+30     2.757585862e+08     1.000000000e+09     5.474917049e+04     1.654551517e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   105     1.427854885e+30     2.760086696e+08     1.000000000e+09     5.460048544e+04     1.656052017e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   106     1.440920804e+30     2.762587529e+08     1.000000000e+09     5.445233829e+04     1.657552518e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   107     1.453974899e+30     2.765088363e+08     1.000000000e+09     5.430472661e+04     1.659053018e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   108     1.467017194e+30     2.767589196e+08     1.000000000e+09     5.415764798e+04     1.660553518e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   109     1.480047708e+30     2.770090030e+08     1.000000000e+09     5.401110001e+04     1.662054018e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   110     1.493066464e+30     2.772590864e+08     1.000000000e+09     5.386508029e+04     1.663554518e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   111     1.506073483e+30     2.775091697e+08     1.000000000e+09     5.371958646e+04     1.665055018e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   112     1.519068785e+30     2.777592531e+08     1.000000000e+09     5.357461614e+04     1.666555519e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   113     1.532052392e+30     2.780093364e+08     1.000000000e+09     5.343016698e+04     1.668056019e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
   114     1.545024325e+30     2.782594198e+08     1.000000000e+09     5.328623665e+04     1.669556519e+09     4.000000000e-01     1.000000000e+01     1.000000000e-02
