#      index      mass[g]      radius[cm]      temperature[K]      density[g/cm^3]      velocity[cm/s]      ye(initial)      entropy[kb/baryon]      expansion_timescale[s]
3000
    68     1.061385698e+30     2.667555852e+08     1.000000000e+09     6.859083951e+04     1.600533511e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    69     1.076717187e+30     2.670056686e+08     1.000000000e+09     6.839828892e+04     1.602034011e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    70     1.092034322e+30     2.672557519e+08     1.000000000e+09     6.820645837e+04     1.603534512e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    71     1.107337132e+30     2.675058353e+08     1.000000000e+09     6.801534449e+04     1.605035012e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    72     1.122625641e+30     2.677559186e+08     1.000000000e+09     6.782494395e+04     1.606535512e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    73     1.137899879e+30     2.680060020e+08     1.000000000e+09     6.763525342e+04     1.608036012e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    74     1.153159870e+30     2.682560854e+08     1.000000000e+09     6.744626958e+04     1.609536512e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    75     1.168405641e+30     2.685061687e+08     1.000000000e+09     6.725798916e+04     1.611037012e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    76     1.183637219e+30     2.687562521e+08     1.000000000e+09     6.707040889e+04     1.612537513e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    77     1.198854631e+30     2.690063354e+08     1.000000000e+09     6.688352550e+04     1.614038013e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    78     1.214057902e+30     2.692564188e+08     1.000000000e+09     6.669733578e+04     1.615538513e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    79     1.229247059e+30     2.695065022e+08     1.000000000e+09     6.651183649e+04     1.617039013e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    80     1.244422128e+30     2.697565855e+08     1.000000000e+09     6.632702446e+04     1.618539513e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    81     1.259583135e+30     2.700066689e+08     1.000000000e+09     6.614289649e+04     1.620040013e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    82     1.274730107e+30     2.702567523e+08     1.000000000e+09     6.595944942e+04     1.621540514e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    83     1.289863068e+30     2.705068356e+08     1.000000000e+09     6.577668011e+04     1.623041014e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    84     1.304982046e+30     2.707569190e+08     1.000000000e+09     6.559458544e+04     1.624541514e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    85     1.320087065e+30     2.710070023e+08     1.000000000e+09     6.541316229e+04     1.626042014e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
    86     1.335178152e+30     2.712570857e+08     1.000000000e+09     6.523240757e+04     1.627542514e+09     1.000000000e-01     1.000000000e+01     1.000000000e-02
